route_distance,crow_distance,edges
1206,1027,"[40.232, 46.939, 59.333, 9.545, 9.059, 50.010000000000005, 13.745, 9.327, 5.804, 63.686, 21.237000000000002, 28.369, 30.809, 15.844999999999999, 84.648, 74.716, 30.421999999999997, 18.978, 16.019, 39.60000000000001, 93.737, 15.148, 33.45, 9.013, 16.328, 33.312, 11.481, 10.46, 44.96, 6.604, 7.535, 40.13, 7.972, 12.834, 13.6, 38.487, 33.107, 38.71, 8.968, 31.265, 30.625]"
3145,2665,"[30.39, 14.647, 26.445999999999998, 42.768, 77.83099999999999, 5.397, 92.09, 14.264, 33.22, 75.28800000000001, 10.388, 289.68, 181.398, 9.021, 26.078, 84.799, 79.884, 33.718, 20.559, 9.82, 3.562, 13.652000000000001, 8.347999999999999, 9.094, 45.616, 5.62, 29.650000000000002, 15.879000000000001, 6.83, 9.121, 15.517, 64.106, 11.727, 12.101, 12.467, 50.461, 27.0, 13.015, 130.645, 7.661, 118.57999999999998, 33.537000000000006, 121.52199999999999, 35.777, 9.835, 14.762, 16.092000000000002, 82.41300000000001, 49.71, 11.43, 11.058, 79.215, 61.461999999999996, 144.331, 15.656, 9.155, 13.902000000000001, 38.71, 65.03200000000001, 13.25, 13.203, 55.53, 62.407000000000004, 14.225999999999999, 3.44, 9.7, 4.413, 13.943000000000001, 49.141, 12.239, 21.099, 13.21, 3.6590000000000003, 4.405, 8.255, 36.979, 0.933, 12.329, 11.72, 7.854, 18.579, 14.05, 17.153, 140.959]"
405,271,"[50.713, 19.529000000000003, 65.034, 8.011, 33.921, 8.109, 26.781, 73.967, 10.106, 12.428, 82.786, 5.536, 7.938]"
1907,1656,"[1.993, 17.96, 5.599, 6.384, 7.586, 4.79, 84.013, 16.716, 57.761, 6.404999999999999, 7.293, 12.48, 137.27599999999998, 14.762, 16.092000000000002, 82.41300000000001, 49.71, 11.43, 11.058, 10.667, 78.595, 8.553, 8.107, 108.62100000000001, 5.158, 12.373000000000001, 4.043, 12.103, 37.772, 7.4319999999999995, 5.189, 53.714, 37.126999999999995, 12.806000000000001, 13.286999999999999, 10.834, 10.407, 42.127, 28.35, 57.158, 1.824, 69.002, 13.600000000000001, 7.962, 93.737, 39.6, 16.019, 46.028000000000006, 11.222999999999999, 103.542, 65.614, 3.892, 6.332, 71.423, 11.999, 8.119, 63.746, 8.993, 7.856, 39.64, 2.33, 26.295, 17.659, 39.86, 14.1]"
1758,1461,"[16.958, 31.417, 1.273, 22.427, 5.238, 20.961, 24.469, 5.937, 5.302, 1.898, 40.38, 10.657, 19.603, 3.1, 4.282, 4.103, 3.033, 35.958, 12.608, 13.322, 8.911, 7.884, 7.515, 16.047, 4.205, 86.18499999999999, 10.833, 15.157, 242.93499999999997, 13.795, 38.976, 15.003, 85.36500000000001, 2.833, 3.449, 23.153, 47.781, 49.498000000000005, 8.72, 7.684, 73.92099999999999, 24.256999999999998, 2.273, 44.458, 11.492, 53.361999999999995, 53.455, 119.81, 6.087, 6.229, 277.202, 29.945, 13.279, 5.72, 5.752, 5.732, 5.727, 5.762, 5.732, 5.787, 5.698, 5.767, 5.716, 5.722]"
933,664,"[13.478, 3.528, 1.557, 24.869, 5.411, 1.2, 6.472, 5.31, 1.384, 7.805, 5.842, 6.103, 0.936, 23.828, 4.889, 5.549, 22.883000000000003, 77.892, 61.732, 4.992, 64.44500000000001, 6.463, 6.861, 31.221999999999998, 25.613, 40.183, 60.555, 6.281, 14.351, 5.466, 5.722, 1.527, 8.968, 12.417, 11.644, 7.237, 18.136, 4.829, 6.46, 6.855, 5.36, 44.143, 17.727000000000004, 5.746, 2.97, 1.821, 16.936, 19.899, 3.713, 9.751, 3.112, 6.149, 5.079, 5.603, 5.319, 3.372, 3.103, 6.164, 4.747, 3.669, 3.902, 5.299, 5.006, 3.723, 30.762, 6.339, 33.463, 35.64, 3.495]"
603,398,"[6.492, 5.968, 21.222, 6.324, 21.053, 6.468, 9.307, 6.613, 8.406, 7.281, 26.998, 1.785, 24.791, 49.47, 0.983, 7.07, 5.785, 3.713, 42.015, 43.469, 5.482, 6.7989999999999995, 7.165, 7.033, 32.627, 5.972, 34.65, 53.326, 6.479, 6.246, 19.131, 69.734, 10.568000000000001, 4.567, 5.504, 4.694, 11.473, 6.802]"
779,601,"[91.99600000000001, 5.019, 8.042, 74.473, 4.884, 15.41, 48.907000000000004, 10.445, 29.994, 5.087, 23.997, 41.796, 10.592, 11.628, 15.443, 55.647999999999996, 7.517, 40.227, 12.536999999999999, 6.266, 0.646, 5.242, 3.464, 4.3, 3.697, 7.485, 20.695, 21.257, 12.76, 8.108, 14.642999999999999, 7.11, 1.832, 1.224, 6.757, 7.652, 9.68, 43.22, 35.025, 7.182, 22.818, 7.48, 3.409, 3.665]"
458,322,"[156.568, 2.167, 6.305, 5.142, 0.932, 15.391, 7.779, 14.959, 3.461, 8.726, 6.148, 3.275, 24.122, 20.633, 10.224, 51.397, 3.564, 6.73, 6.733, 4.316, 19.335, 11.255, 5.118, 19.723, 5.25, 4.754, 15.23, 18.892]"
782,591,"[13.575, 81.65499999999999, 12.557, 71.71199999999999, 8.477, 7.796, 18.165, 11.723, 62.58800000000001, 6.376, 9.126, 15.985, 49.934, 17.473, 9.331, 22.783, 8.355, 12.575, 7.726, 7.002, 9.979, 5.343, 2.862, 11.029, 18.916999999999998, 8.836, 36.956, 68.688, 5.839, 7.191000000000001, 38.78, 5.433, 13.976, 44.198, 48.85399999999999]"
1604,1216,"[8.561, 31.14, 1.824, 5.477, 6.68, 1.454, 91.78999999999999, 4.961, 5.086, 32.856, 33.919, 6.221, 6.186, 5.989, 49.333, 66.45700000000001, 6.605, 20.539, 12.973, 21.537, 8.119, 8.299, 27.022, 15.585, 123.12100000000001, 7.305, 30.994, 31.045, 13.690999999999999, 10.061, 61.732, 4.992, 64.44500000000001, 7.535, 6.972, 40.102000000000004, 1.306, 49.245999999999995, 5.987, 5.932, 19.099, 12.898, 29.602, 6.054, 6.202, 6.337, 20.268, 40.04, 9.146, 5.277, 6.152, 5.351, 1.106, 3.138, 9.111, 7.746, 7.917, 7.592, 3.133, 13.871, 38.179, 6.473000000000001, 4.072, 7.448, 5.332, 11.725000000000001, 4.161, 53.529, 14.361, 10.992, 5.468, 151.856, 14.258000000000001, 20.312, 92.798]"
738,470,"[1.773, 7.718, 6.927, 4.902, 6.845000000000001, 15.367, 6.261, 10.217, 3.452, 1.108, 6.31, 5.91, 1.767, 14.722999999999999, 29.395, 12.8, 15.493, 1.861, 1.877, 8.768, 5.653, 5.384, 5.096, 2.947, 5.813, 12.043, 23.308, 19.169, 16.827, 11.426, 19.003999999999998, 63.901, 6.905, 7.953, 5.749, 11.867, 24.346, 37.482, 24.647, 24.073, 66.62, 16.878, 5.096, 50.224, 6.16, 26.063, 69.54499999999999]"
1265,991,"[8.871, 7.765, 1.523, 53.129, 3.404, 6.633, 9.145, 6.976, 6.501, 12.809, 10.796, 4.957, 5.019, 6.036, 6.721, 6.716, 39.875, 59.921, 6.643, 6.863, 28.611, 21.733, 4.915, 4.08, 2.066, 4.731, 8.812, 4.96, 21.765, 7.551, 7.405, 5.644, 7.115, 41.639, 68.182, 11.298, 2.506, 10.084999999999999, 8.477, 4.876, 10.244, 104.90700000000001, 11.121, 27.081, 10.861, 5.749, 111.846, 56.822, 13.505, 37.541, 11.874, 15.69, 38.646, 4.168, 8.949, 8.106, 5.52, 1.871, 6.874, 9.982000000000001, 0.538, 6.19, 4.783, 12.471, 13.421, 9.795, 9.805, 4.428, 4.406, 8.192, 6.558999999999999, 2.295, 10.837, 10.253, 7.972999999999999, 7.352, 16.967, 80.76100000000001]"
2635,2126,"[20.839, 22.153, 17.237, 4.457, 5.098, 5.289, 5.343, 54.72, 4.874, 96.59400000000001, 8.435, 19.314, 8.543, 8.453, 8.237, 22.386, 10.491, 18.364, 16.561, 66.557, 11.169, 98.92699999999999, 29.848, 27.878, 242.72100000000003, 292.149, 23.301, 108.56, 11.54, 28.121, 101.25, 95.675, 27.88, 109.388, 6.779, 65.161, 8.051, 63.065000000000005, 8.685, 88.185, 163.79, 16.894, 10.447, 13.847000000000001, 8.33, 2.641, 92.32799999999999, 14.441, 11.311, 101.80799999999999, 26.966, 66.84, 9.922, 77.749, 12.536000000000001, 16.707, 88.393, 28.11]"
2057,1766,"[74.084, 17.401, 8.238, 9.667, 2.506, 73.882, 19.194, 200.291, 5.225, 49.009, 63.987, 7.115, 10.692, 85.691, 8.199, 75.932, 7.647, 59.918, 33.14, 43.621, 9.963000000000001, 27.857, 5.994, 25.391000000000002, 5.042000000000001, 45.742000000000004, 7.164, 7.363, 9.633, 1.058, 0.932, 13.303, 0.577, 0.643, 7.77, 5.949, 1.243, 18.08, 1.784, 3.844, 7.435, 2.866, 5.294, 4.615, 10.703, 3.372, 5.557, 5.038, 7.386, 3.578, 2.566, 3.405, 4.23, 12.729, 6.548, 2.388, 2.282, 4.128, 3.627, 5.098, 6.248, 13.054, 11.42, 8.298, 74.056, 24.01, 19.929, 4.379, 6.260999999999999, 16.5, 18.38, 9.131, 55.069, 6.16, 37.974, 35.559, 9.379000000000001, 11.823, 14.373, 104.90700000000001, 11.121, 27.081, 10.861, 5.749, 111.846, 56.822, 41.847, 11.019, 14.361, 53.529, 4.161, 11.725000000000001, 5.332, 7.448, 4.072, 6.473000000000001, 11.229, 6.947, 9.898, 1.128]"
2528,2217,"[46.705, 8.836, 34.118, 98.429, 85.94200000000001, 9.308, 35.452, 5.926, 61.797, 37.365, 44.454, 13.739, 7.366, 6.168, 3.599, 61.343, 95.28299999999999, 17.708, 38.106, 17.389, 62.924, 10.657, 11.491, 16.924, 12.874, 11.92, 128.726, 77.079, 133.59, 73.992, 11.687, 40.39, 119.155, 30.089, 8.459, 7.449, 128.726, 63.702000000000005, 56.666999999999994, 61.1, 54.114000000000004, 98.459, 30.544000000000004, 41.336, 63.677, 10.153, 7.447, 47.366, 16.8, 41.367999999999995, 11.854, 9.543, 63.618, 6.814, 8.212, 52.563, 91.189, 76.113]"
683,522,"[28.652, 33.903, 5.37, 6.681, 5.671, 19.97, 31.97, 7.541, 7.706, 54.28999999999999, 16.151, 16.328, 64.64999999999999, 6.8469999999999995, 5.074, 5.226, 8.234, 6.291, 6.601, 41.691, 43.477, 3.541, 33.224, 3.997, 8.08, 4.045, 19.416, 5.32, 4.984, 6.565, 6.047, 7.472, 22.849, 64.632, 49.80800000000001, 6.098, 14.1]"
1098,986,"[52.641999999999996, 5.938, 4.944, 3.446, 1.981, 2.708, 4.207, 3.691, 7.054, 6.221, 14.136, 5.228, 73.919, 0.839, 5.65, 5.851, 2.1319999999999997, 0.39, 7.587, 3.409, 11.307, 6.74, 7.865, 5.236, 8.923, 5.604, 2.951, 6.4350000000000005, 62.526, 4.896, 8.085, 11.779, 20.483, 18.567, 7.892, 7.119, 20.651, 17.479, 3.818, 7.156, 6.999, 30.754, 13.238, 4.858, 18.784, 16.066, 6.181, 6.872, 15.23, 47.346, 22.102, 24.599000000000004, 42.505, 13.827, 6.423, 27.097, 8.884, 33.442, 13.17, 4.13, 52.569, 6.813, 36.032, 4.705, 25.774, 3.117, 6.454, 8.889, 20.684, 55.092999999999996, 58.114]"
1704,1357,"[18.027, 17.983, 2.716, 73.753, 60.095, 13.378, 38.549, 3.694, 4.579, 30.89, 74.886, 5.048, 60.830999999999996, 5.278, 6.049, 5.495, 19.058, 20.035, 29.752, 23.189, 5.893, 5.038, 4.163, 4.247, 7.254, 50.223, 43.994, 20.113, 8.079, 41.572, 48.66, 45.242999999999995, 5.36, 51.739999999999995, 48.747, 49.241, 30.365000000000002, 5.298, 40.116, 9.036, 10.509, 63.546, 37.056, 8.711, 43.694, 23.537, 24.282, 75.06700000000001, 17.213, 59.326, 128.78799999999998, 59.52600000000001, 15.233, 52.62899999999999, 22.546, 24.762]"
2188,1798,"[74.317, 46.231, 14.424, 11.199, 70.478, 16.374, 12.709, 121.579, 92.328, 2.641, 7.327, 3.63, 26.508, 7.98, 39.069, 5.756, 12.698, 15.369, 7.195, 24.907, 4.08, 3.304, 88.876, 15.051, 25.568, 6.224, 9.624, 9.889, 8.822, 6.29, 45.362, 7.623, 8.651, 7.547, 107.79099999999998, 8.773, 8.285, 58.471000000000004, 8.819, 65.41499999999999, 6.713, 6.743, 19.914, 22.930999999999997, 12.493, 6.994, 42.031, 2.551, 6.812, 7.221, 23.892, 94.80600000000001, 10.27, 31.056, 7.298, 7.41, 2.786, 28.6, 7.628, 8.558, 112.992, 15.999, 10.673, 12.731, 65.687, 6.783, 79.83500000000001, 13.6, 15.261, 104.317, 8.839, 18.865, 148.586, 34.004000000000005, 6.396, 12.294, 7.227, 6.336, 4.722, 28.731]"
1871,1382,"[67.751, 7.216, 8.629, 45.362, 6.29, 8.822, 9.889, 9.624, 6.224, 25.568, 15.051, 88.876, 3.304, 4.08, 24.907, 7.195, 15.369, 12.698, 5.756, 39.069, 7.98, 26.508, 3.63, 7.327, 2.641, 92.32799999999999, 121.57900000000001, 12.709, 16.374, 70.478, 11.199, 14.424, 46.231, 16.438000000000002, 57.12199999999999, 1.179, 73.085, 7.957, 60.087999999999994, 34.697, 21.225, 29.033, 36.257999999999996, 86.467, 10.399, 77.32499999999999, 187.258, 11.212, 22.481, 99.43599999999999, 114.417, 10.137, 8.631, 12.605, 13.246, 17.63, 8.81, 8.596]"
984,917,"[18.605, 6.507, 9.079, 29.276, 21.825000000000003, 11.896, 6.147, 6.294, 43.515, 1.244, 3.11, 9.143, 4.718, 58.239000000000004, 6.389, 5.164, 22.883000000000003, 77.892, 61.732, 4.992, 64.44500000000001, 7.535, 6.972, 40.102000000000004, 1.306, 49.245999999999995, 5.987, 5.932, 19.099, 12.898, 29.602, 6.054, 6.202, 6.337, 20.268, 40.04, 9.146, 5.277, 6.152, 5.351, 1.106, 3.138, 4.413, 8.126, 6.115, 2.295, 6.558999999999999, 8.192, 4.406, 4.428, 9.805, 9.795, 13.421, 12.471, 4.783, 6.19, 0.538, 9.982, 6.874, 1.871, 5.52, 8.106, 8.949, 80.316]"
1417,1219,"[18.355, 23.887999999999998, 3.541, 4.753, 7.464, 6.497, 5.001, 4.699, 32.802, 3.564, 29.325, 30.737, 18.915, 9.613, 52.342, 6.153, 5.682, 3.1180000000000003, 3.797, 10.8, 1.318, 2.541, 7.611, 1.993, 7.907, 5.369, 2.43, 4.325, 3.955, 16.586, 6.049, 2.326, 8.836, 5.801, 1.929, 14.651, 13.524999999999999, 88.047, 4.459, 8.0, 8.182, 37.032000000000004, 61.139, 132.363, 6.727, 7.147, 29.315, 29.855, 5.755, 7.237, 18.136, 4.829, 6.46, 6.855, 3.582, 12.9, 3.053, 4.044, 2.809, 2.476, 8.892, 4.047, 1.05, 19.288, 6.457, 6.27, 2.082, 0.992, 13.263, 14.936, 1.17, 4.682, 5.517, 5.952, 3.815, 8.879, 5.563, 1.815, 10.319, 48.791000000000004, 9.898, 6.947, 11.229, 5.027, 9.152000000000001, 6.146, 9.982, 6.874, 1.871, 2.764, 6.449, 19.242, 61.428, 34.14, 12.475, 6.143, 5.6, 13.021, 12.756, 10.469, 7.827999999999999, 10.997, 2.427, 11.697, 10.429, 8.983, 7.623, 7.16, 9.835, 4.02, 6.640000000000001, 11.272, 8.447, 5.927]"
1714,1334,"[41.973, 15.703, 5.035, 38.909, 18.364, 9.674, 52.052, 3.927, 14.873, 17.721, 60.416, 8.46, 9.784, 102.93800000000002, 54.955, 12.736, 92.958, 16.603, 11.691, 30.418999999999997, 117.035, 12.657, 11.301, 10.395, 40.395, 68.2, 7.97, 6.097, 33.628, 58.168, 6.864, 5.689, 44.497, 16.008, 6.037, 6.982, 39.715, 8.003, 7.978, 22.14, 20.077, 3.606, 3.874, 8.628, 53.361999999999995, 53.455, 119.81, 6.087, 6.229, 7.714, 19.883999999999997, 7.293, 7.475, 3.367, 4.434, 2.105, 4.13, 4.86, 38.214, 6.327, 4.836, 6.582, 47.503, 6.783, 26.165, 6.996, 7.982, 12.165, 10.942, 30.217, 10.301, 14.1]"
1215,1074,"[243.942, 10.885, 254.338, 14.769, 14.591, 47.458999999999996, 187.26899999999998, 4.97, 2.759, 3.739, 5.219, 8.936, 4.96, 3.604, 61.4, 85.847, 15.488, 4.474, 5.922, 5.642, 99.078, 11.749, 26.659, 11.671, 12.965, 67.069]"
1445,1298,"[1.782, 6.683, 49.839000000000006, 8.663, 4.331, 19.105, 107.364, 7.198, 7.45, 12.426, 2.279, 2.046, 13.933, 7.061, 4.102, 7.305, 2.362, 1.251, 2.035, 0.315, 7.174, 2.621, 52.736, 7.037, 7.739, 83.983, 5.147, 5.238, 41.156, 3.307, 29.241, 6.481, 7.977, 29.492, 29.157, 0.991, 6.48, 32.482, 39.366, 11.779, 20.483, 20.052, 9.991, 25.323, 7.187, 5.699, 39.905, 7.348, 7.322, 75.217, 10.905, 4.567, 21.236, 24.974, 77.478, 7.947, 10.118, 61.626000000000005, 36.261, 131.903, 6.232, 6.42, 32.364, 30.586, 5.201, 33.232, 48.269000000000005]"
647,398,"[44.199000000000005, 2.532, 2.692, 8.788, 21.168, 9.344, 2.727, 8.138, 1.323, 6.8740000000000006, 5.785, 9.905, 2.051, 6.111, 3.475, 4.918, 3.785, 3.109, 3.13, 5.309, 8.131, 6.24, 6.286, 17.323, 14.629, 10.089, 5.032, 8.285, 4.623, 6.36, 6.008, 1.306, 40.102000000000004, 6.972, 7.535, 64.445, 4.992, 61.732, 77.892, 22.883000000000003, 5.549, 4.889, 6.65, 5.176, 6.079, 1.968, 6.547000000000001, 3.498, 3.834, 3.914, 3.813, 7.696, 22.817, 4.684, 1.808, 21.877000000000002]"
944,783,"[19.197, 28.221, 11.347, 26.534, 12.361, 50.52400000000001, 11.593, 69.325, 6.363, 79.42200000000001, 10.051, 22.579, 9.237, 38.263, 14.049, 7.87, 11.549, 9.817, 71.462, 113.9, 6.79, 6.679, 19.999, 81.547, 57.807, 66.003, 72.267, 9.622]"
1471,1318,"[9.985, 7.576, 6.526, 33.891999999999996, 49.839000000000006, 8.663, 4.331, 19.105, 107.364, 7.198, 7.45, 12.426, 2.279, 2.046, 13.933, 7.061, 4.102, 7.305, 2.362, 1.251, 2.035, 0.315, 7.174, 2.621, 52.736, 7.037, 7.739, 83.983, 5.147, 5.238, 41.156, 3.307, 29.241, 6.481, 7.977, 29.492, 29.157, 0.991, 6.48, 32.482, 39.366, 11.779, 20.483, 18.567, 7.892, 7.119, 20.651, 17.479, 3.818, 7.156, 6.999, 30.754, 13.238, 4.858, 18.784, 16.066, 6.181, 6.872, 15.23, 47.346, 22.102, 24.599000000000004, 42.505, 13.827, 6.423, 27.097, 8.884, 33.442, 13.17, 4.13, 52.569, 6.813, 36.032, 4.705, 25.774, 3.117, 6.454, 8.889, 20.684, 55.092999999999996, 58.114]"
1309,985,"[26.031, 37.132, 52.878, 9.109, 9.095, 6.18, 3.013, 101.21, 6.962, 8.119, 15.136, 16.074, 6.966, 76.002, 6.261, 14.876000000000001, 8.498, 31.271, 33.757, 9.887, 26.418, 21.880000000000003, 38.935, 11.949, 81.547, 57.807, 70.28, 77.83399999999999, 12.667, 70.194, 77.488, 14.974, 4.943, 44.598, 4.033, 5.07, 33.537, 5.57, 43.632, 4.155, 89.411, 34.021]"
1223,396,"[69.241, 12.6, 91.681, 2.596, 4.412, 6.69, 84.572, 36.088, 91.154, 16.786, 11.42, 8.298, 74.056, 24.01, 19.929, 4.379, 6.260999999999999, 16.5, 18.38, 9.131, 55.069, 6.16, 37.974, 35.559, 9.379000000000001, 11.823, 8.121, 4.876, 4.962, 27.474, 49.715, 28.644, 1.056, 2.429, 8.298, 4.392, 23.837, 7.406, 8.809, 40.341, 10.806000000000001, 8.041, 52.563, 91.189, 76.113]"
2280,1813,"[9.59, 7.979, 9.007, 18.407, 54.932, 3.695, 4.08, 16.488, 8.855, 10.529, 87.28099999999999, 7.459, 6.319, 114.614, 5.13, 4.887, 20.81, 22.125, 3.649, 3.424, 2.469, 12.836, 2.374, 6.213, 13.07, 4.909, 1.912, 51.846, 72.349, 7.04, 10.837, 32.706, 3.148, 3.245, 2.467, 32.098, 15.008, 40.370000000000005, 7.337, 13.367, 59.255, 29.636, 5.443, 19.413, 92.09, 5.397, 77.83099999999999, 14.812, 8.3, 57.217, 179.68099999999998, 88.69500000000001, 64.342, 19.617, 114.997, 7.288, 8.033, 16.739, 8.356, 12.142, 6.212, 14.587, 7.094, 85.847, 28.745, 36.515, 2.224, 2.334, 26.142, 8.405, 6.102, 6.012, 6.09, 11.76, 7.734, 12.741, 4.971, 20.117, 93.265, 12.064, 16.971, 19.07, 6.538, 9.001, 69.346, 115.953]"
388,273,"[7.067, 5.188, 2.7, 21.343, 18.683, 7.521000000000001, 5.866, 1.477, 2.297, 17.347, 12.7, 4.145, 35.141, 7.326, 6.482, 3.705, 8.3, 4.694, 11.473, 6.106, 3.006, 1.356, 2.461, 1.671, 11.493, 10.006, 8.457, 13.403, 7.842, 6.696, 1.094, 2.511, 4.881, 7.102, 6.137, 2.401, 6.17, 7.702999999999999, 9.443, 9.647, 5.336, 4.737, 6.6129999999999995, 2.967, 12.823, 1.328, 9.412, 4.915, 4.129, 4.511, 11.204, 7.445]"
2014,1761,"[5.237, 71.59599999999999, 5.735, 1.236, 29.017, 52.022999999999996, 6.261, 8.672, 6.971, 9.587, 60.831, 8.731, 11.331, 71.618, 37.25, 13.684, 13.700999999999999, 12.081999999999999, 107.446, 5.049, 5.941, 9.61, 19.872999999999998, 6.037, 5.008, 19.453, 12.069, 6.441, 7.143, 7.138, 97.583, 6.257, 10.531, 25.037, 52.281, 44.088, 11.13, 9.064, 105.63000000000001, 3.699, 17.381, 5.646, 17.469, 10.174, 22.541, 50.187000000000005, 15.66, 9.947, 9.279, 51.892999999999994, 19.637, 66.424, 10.199, 6.001, 42.633, 10.017, 21.738, 32.178000000000004, 18.055, 15.036999999999999, 11.126999999999999, 9.657, 45.013000000000005, 65.681, 40.651, 9.446, 10.061, 13.690999999999999, 31.045, 30.994, 7.305, 8.844, 39.833000000000006, 51.517, 10.55, 12.391, 84.909, 6.818, 18.141, 12.957, 38.849000000000004]"
1518,1219,"[36.9, 6.241, 21.5, 7.743, 6.689, 75.586, 5.076, 5.563, 16.603, 53.604, 31.272, 10.279, 81.354, 11.161000000000001, 6.796, 13.486, 5.28, 7.708, 3.083, 54.324, 3.599, 10.633, 11.387, 10.312, 71.55799999999999, 13.245, 6.253, 65.833, 12.393, 6.028, 54.034, 70.678, 38.677, 12.821000000000002, 8.173, 16.414, 43.45, 123.042, 110.535, 210.381, 20.162, 6.695, 9.768, 3.206, 49.25300000000001, 40.156, 7.3309999999999995, 21.784999999999997]"
1232,1007,"[30.531, 7.529, 7.132, 11.224, 70.721, 48.15, 10.74, 38.628, 10.477, 6.697, 4.9, 2.81, 38.979, 14.65, 18.39, 6.689, 7.684, 2.406, 20.019, 33.38699999999999, 18.407, 9.007, 7.979, 8.031, 64.725, 8.751, 19.858, 7.242, 2.558, 27.146, 44.919, 3.553, 14.17, 10.8, 25.829, 12.939, 2.786, 7.41, 7.298, 31.056, 6.695, 128.816, 7.423, 6.897, 30.275, 4.652, 26.567, 3.734, 7.632, 15.506, 9.269, 6.599, 22.444, 5.747, 5.478, 7.097, 12.339, 6.458, 5.655, 6.313, 11.906, 36.06699999999999, 32.288, 31.888, 6.302, 9.82, 7.976, 8.188, 29.272, 6.222]"
1899,1028,"[14.1, 39.86, 17.659, 6.6, 11.138000000000002, 3.914, 9.701, 9.818, 24.83, 75.155, 2.923, 4.794, 7.2090000000000005, 2.764, 1.871, 6.874, 9.982000000000001, 6.146, 9.152, 5.027, 11.229, 6.947, 9.898, 48.791000000000004, 10.319, 1.815, 5.563, 8.879, 5.532, 20.826, 29.191, 5.208, 3.362, 4.894, 55.127, 28.528, 12.99, 15.919, 30.762, 7.027, 8.08, 20.134, 66.722, 3.886, 1.238, 4.952, 5.302, 73.978, 48.269000000000005, 57.398, 28.5, 5.303, 0.842, 11.916, 5.716, 11.096, 8.617, 24.625, 15.255, 11.17, 6.31, 10.557, 21.36, 8.6, 44.706999999999994, 132.603, 8.249, 6.408, 98.48, 97.583, 6.879, 3.042, 5.663, 19.328, 424.275]"
291,215,"[3.939, 91.88300000000001, 8.244, 48.66, 45.242999999999995, 5.36, 22.333, 7.887, 4.544, 14.387, 17.745, 14.017, 2.521, 4.548]"
1003,663,"[7.706, 6.261, 14.876000000000001, 8.498, 31.271, 33.757, 9.887, 26.418, 21.880000000000003, 38.935, 11.949, 81.547, 57.807, 70.28, 77.83399999999999, 12.667, 70.194, 77.488, 14.974, 6.461, 5.208, 38.78, 26.105, 5.309, 15.282, 15.666, 5.316000000000001, 77.508, 9.176, 22.555, 7.826, 38.739, 40.577, 14.354000000000001]"
251,206,"[1.898, 5.413, 8.297, 7.598, 2.795, 52.698, 81.613, 7.779, 7.117, 3.691, 13.02, 17.311, 29.039, 5.887, 6.715]"
1404,986,"[69.457, 8.003, 17.373, 16.545, 41.019, 8.206, 9.108, 38.609, 11.477, 18.043, 6.647, 10.224, 51.397, 6.23, 5.846, 27.986, 74.118, 21.667, 5.796, 3.915, 15.633000000000001, 6.162, 1.343, 9.835, 32.6, 5.549, 6.537, 12.57, 2.774, 8.523, 3.705, 8.3, 5.504, 21.379, 62.169999999999995, 51.157000000000004, 25.83, 1.75, 13.511, 57.653999999999996, 33.343, 11.6, 9.771, 2.323, 117.31800000000001, 8.6, 11.871, 26.505, 15.377, 11.867, 24.346, 37.482, 24.647, 24.073, 66.62, 16.878, 5.096, 50.224, 6.16, 26.063, 69.54499999999999]"
398,364,"[31.849, 39.135, 62.284, 1.449, 7.579, 7.024, 12.298, 72.548, 13.449, 8.192, 9.021, 7.417000000000001, 19.229, 86.909, 4.27, 7.181, 7.739]"
1684,1338,"[64.539, 7.192, 7.185, 6.003, 8.266, 70.273, 23.383, 5.847, 49.92, 19.473, 24.213, 234.61, 21.075, 2.983, 38.976, 25.21, 6.476, 16.126, 93.769, 3.54, 6.728, 33.767, 4.89, 9.406, 28.398, 47.24, 6.671, 4.815, 4.262, 14.727, 42.765, 25.095, 10.595, 5.33, 4.89, 5.744, 7.032, 4.743, 8.242, 4.732, 7.53, 1.69, 2.242, 2.532, 2.692, 8.788, 21.168, 9.344, 2.727, 8.138, 1.323, 6.8740000000000006, 5.785, 9.905, 2.051, 6.111, 3.475, 4.918, 3.785, 3.109, 3.13, 5.309, 8.131, 6.24, 6.286, 17.323, 5.861, 6.079, 5.89, 12.355, 1.723, 5.449, 5.961, 9.581, 8.414, 8.252, 18.876, 6.999, 10.242, 1.983, 3.726, 28.705, 29.912, 5.744, 15.501, 6.387, 2.864, 1.469, 3.086, 4.346, 4.337, 24.553, 3.253, 8.082, 15.043, 6.647, 9.16, 4.52, 10.917, 8.003, 8.686, 6.832, 12.845, 12.805, 11.842, 5.432, 19.215, 10.447, 3.649, 2.373, 4.325, 3.254, 10.261, 5.97, 6.716, 38.572, 3.873, 4.849, 38.305]"
1276,1082,"[4.848, 10.089, 4.554, 67.11399999999999, 105.939, 11.452, 81.919, 19.317, 11.901, 9.726, 90.025, 19.033, 8.921, 62.365, 51.813, 30.027, 32.939, 32.491, 10.82, 9.806, 65.187, 4.326, 104.791, 14.328, 11.161000000000001, 9.632, 5.675, 62.086999999999996, 7.138, 7.7219999999999995, 11.896, 41.222, 5.543, 19.523, 7.596, 60.414, 112.31, 7.898, 7.851000000000001, 5.001, 29.997999999999998]"
