route_distance,crow_distance,edges
1859,1580,"[4.278, 5.337, 16.742, 4.86, 5.457000000000001, 6.739, 91.243, 43.775, 23.8, 10.893, 7.572, 10.319, 6.139, 5.844, 8.005, 11.448, 5.432, 28.545, 1.549, 5.324, 6.581, 1.794, 19.161, 20.617, 37.741, 2.513, 7.277, 8.663, 4.331, 19.105, 107.364, 7.198, 7.45, 12.426, 2.279, 2.046, 13.933, 7.061, 4.102, 7.305, 2.362, 1.251, 2.035, 0.315, 7.174, 2.621, 52.736, 7.037, 7.739, 83.983, 5.147, 5.238, 41.156, 3.307, 29.241, 6.481, 7.977, 29.492, 29.157, 0.991, 6.48, 32.482, 39.366, 11.779, 20.483, 20.052, 9.991, 25.323, 7.187, 5.699, 39.905, 7.348, 7.322, 75.217, 10.905, 4.567, 21.236, 24.974, 77.478, 7.947, 10.118, 61.626000000000005, 36.261, 131.903, 6.232, 6.42, 32.364, 30.586, 27.698, 5.392, 7.083, 114.842, 5.302]"
4090,387,"[100.485, 59.55500000000001, 41.669000000000004, 38.464, 56.07599999999999, 64.247, 37.561, 58.157, 9.968, 11.061, 142.63, 42.217, 22.161, 104.37899999999999, 115.554, 33.754000000000005, 7.577, 15.022, 8.364, 19.407, 25.365000000000002, 41.456, 56.85399999999999, 4.69, 293.91999999999996, 7.385, 52.413, 54.976, 277.204, 275.73499999999996, 45.084, 11.48, 34.499, 63.69799999999999, 5.717, 70.931, 105.137, 38.704, 63.843, 27.203, 110.40100000000001, 4.645, 48.113, 40.895, 11.112, 126.715, 25.051000000000002, 55.817, 201.95799999999997, 294.789, 124.101, 75.629, 105.49300000000001, 53.624, 8.93, 68.407, 12.17, 128.84, 12.411, 13.138, 1.916, 12.656, 8.741]"
1436,1146,"[4.454, 4.351, 66.267, 33.539, 6.885, 7.65, 19.496000000000002, 46.04600000000001, 6.37, 45.027, 7.744, 15.156, 5.901, 7.937, 5.344, 9.465, 1.916, 6.347, 9.944, 33.456, 7.475, 50.12, 9.899, 7.866, 92.55699999999999, 7.046, 7.607, 28.816000000000003, 4.3, 10.479, 4.602, 17.577, 2.944, 6.293, 6.283, 54.16100000000001, 8.136, 24.462, 9.547, 17.073, 34.865, 19.97, 31.97, 7.541, 7.706, 5.36, 50.178, 20.079, 8.99, 7.389, 54.415, 18.529, 12.549, 11.823, 14.373, 104.90700000000001, 11.121, 27.081, 10.861, 5.749, 111.846, 56.822, 13.505, 67.715]"
1086,894,"[64.342, 2.547, 7.282, 8.855, 66.093, 103.16, 7.9159999999999995, 11.280999999999999, 12.75, 6.796, 11.161000000000001, 9.632, 5.675, 62.086999999999996, 7.138, 7.7219999999999995, 11.896, 41.222, 5.543, 19.523, 7.596, 60.414, 112.31, 7.898, 7.851000000000001, 5.001, 29.997999999999998, 46.644, 6.641, 12.626000000000001, 5.582, 1.555, 8.42, 9.619, 17.232, 16.374000000000002, 1.71, 17.357, 11.19, 20.264, 5.263, 1.692, 1.942, 14.975, 20.025, 5.282, 11.562, 7.295, 7.416, 7.323, 60.084, 52.948, 6.944, 4.838]"
469,351,"[7.427, 7.145, 21.884, 74.777, 112.83, 5.001, 29.997999999999998, 46.644, 6.641, 12.626000000000001, 5.582, 1.555, 43.774, 3.897, 5.653, 45.058, 10.054, 19.03, 9.457]"
1344,1162,"[40.765, 82.696, 7.631, 8.134, 7.077, 33.116, 7.903, 9.066, 10.446000000000002, 11.927, 87.736, 18.456, 6.997, 71.399, 39.726, 46.288, 8.145, 8.727, 61.1, 54.114000000000004, 98.459, 13.945, 6.545, 137.00699999999998, 17.878, 18.978, 16.019, 33.638, 92.544, 21.01, 3.021, 5.623, 14.491, 4.429, 5.935, 32.09, 9.905, 48.85, 18.248, 18.09, 43.814, 3.438, 1.826, 56.32899999999999]"
1603,1272,"[15.304, 46.377, 44.035, 5.185, 5.622, 13.962, 48.86, 79.67899999999999, 5.191, 9.696, 2.634, 10.592, 20.722, 39.327, 20.777, 17.289, 38.682, 23.242, 10.871, 12.443000000000001, 136.243, 22.979, 32.513, 71.643, 30.847, 79.422, 12.120999999999999, 35.701, 86.673, 88.53399999999999, 9.07, 19.778, 7.486, 103.955, 12.597, 4.705, 41.463, 1.02, 37.228, 4.702, 3.889, 143.158, 2.521, 5.319, 5.311, 75.41799999999999, 57.885]"
817,543,"[3.356, 23.434, 1.099, 1.343, 3.6, 22.895, 10.333, 5.282, 3.305, 2.479, 23.24, 11.207, 1.14, 6.083, 6.468, 62.872, 3.299, 5.614, 6.331, 73.36, 5.061999999999999, 4.652, 61.897, 6.108, 148.829, 15.667, 79.289, 4.817, 3.917, 90.964, 4.702, 5.428, 41.311, 35.619, 8.008, 5.938, 3.595, 4.745, 4.217, 3.628, 1.579]"
1439,1117,"[1.125, 4.693, 8.65, 2.391, 3.302, 3.573, 4.901, 6.496, 3.112, 3.533, 23.05, 3.082, 8.764, 6.073, 5.539, 4.659, 112.206, 78.6, 17.373, 16.545, 41.019, 8.206, 9.108, 38.609, 11.477, 18.043, 6.647, 10.224, 51.397, 6.23, 6.464, 6.932, 18.833, 12.344000000000001, 16.951, 17.597, 24.649, 126.00200000000001, 6.011, 5.866, 24.479, 75.651, 132.49500000000003, 6.562, 6.63, 74.111, 16.562, 5.377, 7.556, 60.346, 6.677, 3.315, 4.351, 6.8, 8.805, 28.891, 0.832, 2.628, 20.148, 14.025, 3.886, 4.943, 6.451, 5.887, 20.627, 47.295, 1.794, 1.64, 5.995, 4.183, 9.881, 59.617000000000004]"
377,321,"[7.124, 38.875, 10.283, 23.256, 4.988, 5.447, 4.34, 101.142, 7.838, 23.3, 8.192, 9.021, 7.417000000000001, 19.229, 86.909, 4.27, 7.181, 7.739]"
