t,stps,spk,a_mu,dcc_mu,hw,rrc,m,d,aux,uphill,ele,e,epk,e_slow,epk_slow,time_slow
504,5,2.7198495161659686,0.9159220373617692,1.1322212071130382,0.413920961439543,0.018001406535604846,2.7819487192976164,1838.3370000000004,54.31656829541998,19.257861763689718,-4.668317696187519,11.343100525130883,6.170305295019835,18.588802515603625,10.111749105633852,1001
285,5,5.883114285378108,1.0804359431783657,1.1214518703967742,-3.560294385524413,0.01120328812000825,4.354708271602116,849.89,61.21328539877373,11.766903451856258,1.2512576971314202,6.4984184257933935,7.646187654629886,10.256591210918975,12.068139654448192,504
282,3,2.3880140797310143,0.8774099334325755,1.1164904739988604,2.170721007823168,0.01751739435091232,3.2443781497372397,1256.274,58.51559376382419,12.82667783212526,-2.9168549326947506,7.20959943690366,5.738874988182244,16.21909612897935,12.910476638837824,779
439,5,2.846991299594589,1.125917517349479,0.9997443923733048,-2.2186140841972057,0.017844841438410503,3.2226661451033323,1756.2399999999996,59.07516891396916,12.414729706359198,-7.567267855104784,9.935412331430797,5.657206493093654,18.252865778749584,10.393150012953576,909
352,5,4.286308245571173,0.8943789345735388,0.9281667252846495,-1.799065699243532,0.007489170980361417,4.432259840123106,1166.5049999999997,64.14109859345828,18.899947271638787,-15.027601369597315,8.419900911068154,7.218058140400733,4.123224330954996,3.5346820896224167,201
322,5,3.1608399742581192,1.0462800139284287,1.1103477742996715,-0.2061692034077077,0.012170451254109971,3.619217470448192,1581.858,61.34537311860964,10.810408195904833,1.0898836380267063,7.584302062920779,4.794553027465663,17.48581750537302,11.053974190713086,880
188,3,3.3350712760316212,0.8881330174822368,1.0913133594532725,0.3699738631494378,0.015297206146119941,2.7204027876024712,899.531,63.229961972142696,6.557092029574824,0.004418286943271906,4.54549595063498,5.053184326760257,6.949286632601727,7.72545541243351,312
372,5,3.438775355810085,0.9522225012712926,1.1249538187646895,-0.9472089396712919,0.016046526712312693,6.922990290618376,1454.0060000000003,58.338690836721426,17.922884059668938,-9.492723233254381,9.214490410384016,6.3373125079153825,15.113261612357867,10.394222315697366,745
593,9,4.491858506457047,1.1413822414697894,1.0300907539473274,-9.525541116070684,0.01031482629085469,1.580641812189664,2003.6249999999998,62.82655832271893,14.61534952888187,-3.8429389853534133,12.059391564374968,6.018786731237117,19.501145184224814,9.732931653490455,1001
178,3,4.707093275760353,0.9133544680727995,0.9999046420679315,-1.5952711193906484,0.013518382243550479,3.876341448691356,637.3359999999999,59.597649392274356,5.9451301882011665,0.685861959139773,3.990823174971122,6.26172564388505,7.364437815408019,11.55503190688745,369
237,1,0.9310033423019988,1.0865827430321136,0.6492826714356195,-0.34897460311647543,0.013988370141232243,4.318444974467038,1074.1100000000001,62.50414404519948,8.15232079386005,0.47299473542043396,5.78375358021815,5.384693914234249,5.7441454392869735,5.3478186026449555,274
676,8,3.4373592831043482,1.0510805868123807,1.1059137206246041,1.5829794334984753,0.01779643979443251,1.4809340918568838,2327.368,56.08276748289509,16.726642848616546,-7.4246229719911945,15.53119677095319,6.673287924794528,21.971920564616514,9.440673140051988,1146
218,3,4.123915410247106,0.7082020735789532,0.9765797729000022,1.1334321938488694,0.008749703654819535,2.5783100847948948,727.4639999999999,60.82818030919805,11.71820887053015,3.1369665911629467,5.2628306720514,7.2344895033313,7.0509367389357935,9.692488891458265,343
114,2,2.551365363174103,1.006406231858085,0.8038633178365414,2.0239827517240028,0.014429527661552337,4.482370406242554,783.894,61.402024718436614,4.66909764917419,-0.6096631039600081,2.88880252620604,3.6851953532059696,3.6085086503527823,4.603311991612109,166
244,3,3.9184287623120286,1.145847889149202,0.8945822638703586,0.06320507721217274,0.009180853924648234,5.000550649068485,765.6130000000002,62.09705332610749,8.736362643265881,2.0642377585663643,5.721094064664127,7.4725665116241835,7.051053912303361,9.209684151527416,335
278,5,2.977076510866329,0.9661583917116332,0.9945717946659702,4.558837383160951,0.01661741217666097,3.1006392472148434,1679.5000000000002,56.715542670672534,9.97392946333269,3.0969347472284063,6.935153069663025,4.1292962605912615,11.516259595802486,6.856957187140509,553
342,3,2.0430595224961285,1.209237119931467,1.203186237888519,-2.3428822827253626,0.018119777598605946,4.6119333116318115,1468.386,63.013811252340176,11.769820255907117,4.248223751982551,8.623786443028727,5.872969670800953,7.317376092065696,4.983278301526775,340
663,10,4.187073415726566,1.0371048449660862,0.9467946678546628,-0.9313247495772272,0.017748779158386678,3.5345799381507437,2388.302999999999,61.20217066306994,24.206750476846945,-0.19408614423527157,15.886069360916899,6.651613870148346,27.13748061509026,11.362662365323944,1311
559,4,1.6580874458738082,1.1803238991787484,1.0147917399885755,7.835637610332603,0.014525592222028382,3.576082974334624,2412.4179999999997,63.21944221530127,11.444254842077813,-0.2748854815123658,20.1558372254477,8.355035166147701,27.254906827262165,11.297754712185935,1074
265,4,2.456616158638445,0.9976499967736151,1.049481911792274,-4.481061208959954,0.01924881748851626,3.256965264648442,1628.256,58.6287755786362,8.774996898056855,1.6867930611336088,5.957242769513084,3.658664712129471,12.538109241329343,7.700330440255919,631
229,4,3.0683364553656767,0.9947925157410443,0.9472865302224915,3.2651322665820004,0.007516033093680177,4.765815694820999,1303.6380000000001,62.353328595381655,12.451876663017117,5.365531850560179,5.949308506134396,4.56362004339732,14.232916582311367,10.917844203921154,661
533,6,3.037576338090346,1.1697251489639158,1.1197889810467356,-2.432039919037771,0.0175197528647117,3.8585168563646293,1975.2590000000002,62.665021453320456,13.763882009832008,3.085422835578038,12.559102769765888,6.358205566847632,12.818612010946227,6.489585421935161,609
366,7,5.97919070799597,1.1183989709562019,0.9273527207757712,0.8325729810578889,0.017274098556992027,2.8853243027273106,1170.7270000000003,58.375576575101476,14.369635513833067,5.3639056372508,8.712903973955775,7.442302068676791,10.333159068258102,8.826275526453305,506
267,5,5.468090411594101,0.9763209335022495,1.1274979093289048,2.580940393651626,0.021669413170403808,1.3085264810297335,914.3960000000001,58.2186523632519,10.092437683452358,2.725422005598473,6.537432983083603,7.149454922247694,10.201407489614976,11.15644369574558,493
514,8,4.153149463023732,1.0520919684391452,1.0697665282798616,3.978049963601107,0.010777625272376523,3.7857907197472693,1926.2489999999998,59.455073421670335,15.578993033365158,1.64238307201565,13.296837032601575,6.902968947732913,23.70252222609631,12.305014681952494,1162
